input,expected_output,expected_articles
"Warum hat die Trump-Regierung Harvard vorgeworfen, antisemitische Proteste zugelassen zu haben?","In Harvard und vielen anderen US-Universitäten hatte es im vergangenen Jahr teils heftige propalästinensische Demonstrationen gegeben, ausgelöst durch das militärische Vorgehen Israels im Gazastreifen nach dem Terrorangriff der Hamas im Oktober 2023.",2025-05-06/ausland/article_3.md
Wer profitiert von den $TRUMP-Coins?,80 Prozent der $TRUMP-Coins werden bei zwei mit der Trump Organisation verbandelten Firmen liegen: CIC Digital und Fight Fight Fight.,2025-01-20/wirtschaft/article_1.md
Wie viele Menschen kamen bei dem Zugunglück in Griechenland ums Leben?,57 Menschen kamen ums Leben.,2025-02-28/ausland/article_11.md
Wie ist die Deutsche Bahn auf Stromausfälle vorbereitet?,"Die Deutsche Bahn ist gut vorbereitet, da ihre Züge in einem separaten Stromnetz fahren, das von speziellen Kraftwerken versorgt wird. Für Signale und Weichen sollen im Ernstfall Notstromaggregate zum Einsatz kommen.",2025-04-30/wirtschaft/article_12.md
Welche militärischen Sicherheitsgarantien fordert Großbritannien für die Ukraine?,"Großbritannien fordert 'Boots on the ground, planes in the air', also 'Stiefel auf dem Boden, Flugzeuge in der Luft', als konkrete militärische Sicherheitsgarantien für die Ukraine.",2025-02-28/ausland/article_7.md
Welche Städte in der Toskana sind besonders stark von Überschwemmungen betroffen?,"Besonders stark betroffen sind die bei Touristen beliebten Städte Florenz, Pisa, Prato und Pistoia.",2025-03-14/ausland/article_11.md
Wer kritisierte die Gewaltanwendung der Sicherheitskräfte bei den Protesten?,Yücel kritisierte zudem 'unverhältnismäßige Gewaltanwendung' von Sicherheitskräften bei den Protesten.,2025-03-31/ausland/article_7.md
Welches Land ist der wichtigste Absatzmarkt für die europäische Stahlindustrie?,Die USA sind der wichtigste Absatzmarkt für die europäische Stahlindustrie.,2025-05-31/wirtschaft/article_1.md
"Welches chinesische Start-up hat ein KI-Modell entwickelt, das die US-Techgiganten verunsichert?","Das chinesische Start-up DeepSeek hat ein KI-Modell entwickelt, das die US-Techgiganten verunsichert.",2025-01-28/wirtschaft/article_10.md
Wer ist der Kanzlerkandidat der Union bei dieser Wahl?,Friedrich Merz,2025-02-23/inland/article_13.md
Wie viel Prozent stieg der Nettogewinn von Airbus?,Der Nettogewinn erhöhte sich um ein Drittel.,2025-04-30/wirtschaft/article_0.md
Wie bewertet Verfassungsrechtler Morel die Entscheidung des Verfassungsrats im Fall von Le Pen?,"Verfassungsrechtler Morel wertet die Entscheidung als Fingerzeig und tendenziell positiv für Le Pen, da der Verfassungsrat unterstreicht, dass eine exécution provisoire verhältnismäßig sein müsse.",2025-03-31/ausland/article_16.md
Welche Maßnahmen hat die künftige Regierungskoalition zur Ankurbelung der Wirtschaft angekündigt?,"Geplant sind bessere Abschreibungsmöglichkeiten für Unternehmen, außerdem wollen die neuen Regierungspartner Energiekosten und Unternehmenssteuern senken, das Arbeitsrecht flexibilisieren und Bürokratie abbauen.",2025-04-30/wirtschaft/article_1.md
Warum wurde der Gesetzentwurf zur Migrationspolitik abgelehnt?,"Der Gesetzentwurf wurde abgelehnt, weil zu viele Abgeordnete von Union und FDP nicht abgestimmt haben.",2025-01-31/inland/article_3.md
Was empfiehlt die WHO im Hinblick auf Tabak- und Nikotinprodukte mit Aromen?,"Die WHO ruft Regierungen auf, Tabak- und Nikotinprodukte mit Aroma zu verbieten, um insbesondere junge Menschen zu schützen.",2025-05-31/inland/article_3.md
Wer hat mehr als 80 Prozent der Finanzierung für die Programme der US-Entwicklungshilfebehörde USAID gestrichen?,Präsident Donald Trump,2025-06-30/ausland/article_6.md
Mit welchen Maßnahmen droht die Trump-Regierung ausländischen Studierenden?,Die Trump-Regierung droht ausländischen Studierenden mit Abschiebung.,2025-05-08/ausland/article_9.md
Wie hoch war die Inflationsrate in Deutschland im Januar nach nationaler Berechnungsmethode?,Die deutsche Inflationsrate ist im Januar nach nationaler Berechnungsmethode unerwartet gesunken.,2025-01-31/wirtschaft/article_7.md
Wofür wurde Friedrich Merz kritisiert?,"Friedrich Merz wurde für seine Aussagen zu Demonstrationen gegen rechts kritisiert, insbesondere dafür, dass er sagte, es gebe keine linke Mehrheit und keine linke Politik mehr in Deutschland, und dass er Politik für die Mehrheit der Bevölkerung machen werde, die gerade denke und 'alle Tassen im Schrank' habe, nicht für 'irgendwelche grünen und linken Spinner'.",2025-02-23/inland/article_10.md
Was fordert Reiner Haseloff von der SPD in Bezug auf die Migrationspolitik?,"Reiner Haseloff fordert die SPD zu Zugeständnissen auf und eine Wende in der Migrationspolitik, um an den Grenzen zurückzuweisen, wer keinen Schutz beanspruchen könne, und dafür zu sorgen, dass die Menschen, die bleiben dürfen, zügig und gut integriert werden.",2025-03-31/inland/article_0.md
Was befürchtet die Branche durch die neue Regelung?,"Mit dieser neuen Regelung würde die Branche regulatorisch vom Markt gefegt, so die Befürchtung.",2025-06-30/inland/article_3.md
Wie viele Nutztiere wurden im Jahr 2023 nachweislich durch Wölfe zu Schaden gebracht?,"2023 kamen nachweislich 5.727 Tiere zu Schaden, der Großteil davon Schafe.",2025-05-08/ausland/article_20.md
"Wer wollte ein Selfie mit Elon Musk, als er das Kapitol besuchte?",Parlamentarier genauso wie einfache Angestellte wollten ein Selfie mit ihm.,2025-05-31/ausland/article_1.md
Wie viele Bienen sind nach dem Lkw-Unfall im Nordwesten der USA entflogen?,14 Millionen Bienen,2025-05-31/ausland/article_6.md
Wie viele Klagen gegen Fluggesellschaften gab es im Jahr 2024 beim Amtsgericht Köln?,Im Jahr 2024 gab es beim Amtsgericht Köln knapp 41.300 Verfahren.,2025-01-31/wirtschaft/article_5.md
Gegen wen können im Wirecard-Skandal keine Schadenersatzansprüche vorgebracht werden?,Im Wirecard-Skandal können keine Schadenersatzansprüche gegen die Wirtschaftsprüfungsgesellschaft EY vorgebracht werden.,2025-02-28/wirtschaft/article_3.md
Wie hoch war das Wirtschaftswachstum der USA im dritten Quartal im Vergleich zum Vorjahresquartal?,"Das Bruttoinlandsprodukt (BIP) der USA ist im dritten Quartal im Vergleich zum Vorjahresquartal um 2,7 Prozent gewachsen.",2025-01-20/wirtschaft/article_4.md
Wann findet die Bundestagswahl statt?,Im Februar.,2025-01-28/inland/article_1.md
Was sagte Präsident Emmanuel Macron über den Hintergrund der Tat in Mulhouse?,Es gebe 'keinen Zweifel' am islamistischen Hintergrund der Tat.,2025-02-23/ausland/article_0.md
Welche Position hatte Rubio zu Beginn des russischen Angriffskrieges?,Zu Beginn des russischen Angriffskrieges befürwortete er noch umfangreiche US-Hilfe.,2025-01-20/ausland/article_8.md
Was fordert die EVG in den Tarifverhandlungen mit der Deutschen Bahn?,"Die EVG fordert eine Gehaltserhöhung von 7,6 Prozent für die rund 192.000 Beschäftigten, ein Zusatzgeld von 2,6 Prozent für Schichtarbeiter, das in freie Tage umwandelbar sein soll, eine Bonuszahlung von 500 Euro für EVG-Mitglieder und eine Jobgarantie bis Ende 2027.",2025-01-28/wirtschaft/article_1.md
Welche Theorien kursieren in den US-Medien über die Ursache des Unfalls zwischen der Passagiermaschine und dem Black Hawk Hubschrauber?,"Einige Theorien besagen, dass der Tower zum Zeitpunkt des Unglücks unterbesetzt war, oder dass der Hubschrauber sich auf der falschen Flughöhe befand. Außerdem mussten die Jet-Piloten in letzter Minute die Landebahn wechseln und eine große Linkskurve fliegen, wodurch der Hubschrauber möglicherweise in die Flugbahn geraten ist.",2025-01-31/ausland/article_6.md
"Was plant Dänemark, um seine Präsenz auf der Arktisinsel zu stärken?","Dänemark plant, knapp zwei Milliarden Euro in drei neue Schiffe und Langstreckendrohnen zur Überwachung der Region zu investieren. Auch verstärkte Satellitenkapazitäten sind Teil des Abkommens.",2025-01-28/ausland/article_6.md
Wie viele Menschen nahmen an der Trauerfeier für Nasrallah in Beirut teil?,Mehr als 50.000 Menschen versammelten sich im größten Stadion des Libanons und in der Umgebung.,2025-02-23/ausland/article_4.md
Wie viel Prozent der ADAC-Mitglieder sind für ein Tempolimit?,55 Prozent der ADAC-Mitglieder sind für ein Tempolimit.,2025-01-28/inland/article_10.md
Was hat ein Richter in Missouri im Fall Abbott angeordnet?,"Ein Richter in Missouri hat angeordnet, dass Abbott und der Rivale Mead Johnson sich einem neuen Gerichtsverfahren stellen müssen.",2025-03-14/wirtschaft/article_4.md
Wann wurde die Abtreibungspille RU 486 in Frankreich zugelassen?,Im Jahr 1989,2025-05-31/ausland/article_11.md
Wie hat der kolumbianische Präsident auf die von Trump verhängten Strafzölle reagiert?,"Der kolumbianische Präsident konterte zunächst mit Gegenzöllen, knickte aber dann nach wenigen Stunden ein.",2025-01-28/ausland/article_3.md
Wie viele ukrainische Geflüchtete sind laut UNHCR außerhalb der Ukraine registriert?,Rund sieben Millionen Menschen sind außerhalb der Ukraine als Geflüchtete registriert.,2025-02-23/inland/article_2.md
Warum hat Salvatore Mazzola in der Bäckerei geschlafen?,"Weil im Keller kein Empfang für das Telefon war und er auf einen Anruf wartete, dass sein Vater ins Krankenhaus gekommen war.",2025-01-31/ausland/article_4.md
Was sagte Jens Südekum über das Scheitern von Merz im ersten Wahlgang?,"Dass Merz nun im ersten Wahlgang gescheitert ist, sendet ein verheerendes Signal in die Gesellschaft und in die Wirtschaft: Die Reihen sind nicht geschlossen.",2025-05-06/wirtschaft/article_10.md
Welche Parteien haben sich auf Änderungen am Finanzpaket verständigt?,"Union, SPD und Grüne",2025-03-14/inland/article_6.md
Welche US-Konzerne haben ihre Maßnahmen für Diversität zurückgefahren?,"McDonald's, Meta, Disney und Walmart.",2025-01-28/ausland/article_8.md
Welche Wahrscheinlichkeit für eine Rezession in den USA prognostiziert Goldman Sachs aufgrund der Unsicherheiten hinsichtlich der Zölle?,Goldman Sachs erhöhte die Wahrscheinlichkeit einer Rezession in den USA von 20 auf 35 Prozent.,2025-03-31/wirtschaft/article_3.md
Was fordert das Parlamentarische Kontrollgremium bezüglich der Corona-Untersuchung?,"Das Parlamentarische Kontrollgremium fordert die Bundesregierung auf, alle vorliegenden Erkenntnisse zum Ursprung der Corona-Pandemie zu veröffentlichen.",2025-03-14/inland/article_3.md
Wer hat Trump und seine Frau Melania im Weißen Haus zum Tee empfangen?,Sein demokratischer Amtsvorgänger Biden und dessen Ehefrau Jill.,2025-01-20/ausland/article_7.md
Wer war während der Corona-Pandemie Regierender Bürgermeister von Berlin?,Michael Müller war während der Corona-Pandemie Regierender Bürgermeister von Berlin.,2025-03-14/inland/article_4.md
Wer verleiht den Lehrkräftepreis?,Der Lehrkräftepreis wird vom Deutschen Philologenverband und der Heraeus Bildungsstiftung verliehen.,2025-03-31/inland/article_1.md
In welchem Wahlkreis kam es zu einer doppelten Stimmabgabe durch Ablenkung des Wahlvorstands?,Im thüringischen Wahlkreis Eichsfeld-Nordhausen-Kyffhäuserkreis.,2025-03-14/inland/article_14.md
Wie viele Drohnen wurden über Moskau abgefangen?,Mindestens 19 unbemannte Flugobjekte wurden auf Moskau zugesteuert und von den Flugabwehrkräften abgeschossen.,2025-05-06/ausland/article_2.md
"Wie erfährt die Öffentlichkeit, ob ein neuer Papst gewählt wurde?","Die Öffentlichkeit erfährt über den Schornstein der Sixtinischen Kapelle, ob ein neuer Papst gewählt wurde. Weißer Rauch bedeutet, es gibt einen neuen Papst, während schwarzer Rauch bedeutet, dass noch niemand gewählt wurde. Sicherheitshalber läuten bei einer erfolgreichen Wahl auch die Glocken.",2025-05-08/ausland/article_5.md
Wie viel Geld hat Citigroup versehentlich überwiesen?,Citigroup hat versehentlich 81 Billionen Dollar überwiesen.,2025-02-28/wirtschaft/article_12.md
"Warum droht Trump mit Strafzöllen auf Filme, die im Ausland produziert werden?","Trump macht das Ausland und den Gouverneur von Kalifornien, Gavin Newsom, für den Verlust oder die Bedrohung von fast 20.000 Jobs verantwortlich und droht deshalb mit Strafzöllen auf Filme, die im Ausland produziert werden.",2025-05-06/wirtschaft/article_0.md
"Wie hoch ist die erste Dividende, die das Unternehmen zahlen möchte?",Die erste Dividende soll sich auf 25 Cent je Aktie belaufen.,2025-05-08/wirtschaft/article_4.md
Wer moderierte die Gesprächsrunde mit Angela Merkel und den Geflüchteten?,Die Gesprächsrunde mit Angela Merkel und den Geflüchteten wird von den beiden WDR-Kollegen Bamdad Esmaili und Borhan Akid moderiert.,2025-06-30/inland/article_4.md
Was fordert die Gewerkschaft ver.di für die Beschäftigten im Tarifkonflikt?,"Die Gewerkschaft fordert acht Prozent mehr Geld, mindestens aber 350 Euro mehr pro Monat sowie höhere Zuschläge für besonders belastende Tätigkeiten und drei zusätzliche freie Tage.",2025-02-23/inland/article_8.md
Wer könnte den Posten des Umweltministers übernehmen?,SPD-Generalsekretär Matthias Miersch wird für den Posten gehandelt.,2025-04-30/inland/article_9.md
Was ist das Ziel des Treffens zwischen Selenskyj und Trump?,"Das Ziel des Treffens ist die Unterzeichnung eines Rohstoffabkommens zwischen der Ukraine und den USA, bei dem Rohstoffe gegen Sicherheit gehandelt werden sollen.",2025-02-28/ausland/article_13.md
"Wer hat angekündigt, seine Ehrung an Bundespräsident Frank-Walter Steinmeier zurückzugeben?","Weinberg und Toscano haben angekündigt, ihre Ehrung an Bundespräsident Frank-Walter Steinmeier zurückzugeben.",2025-01-31/inland/article_5.md
Warum ist Trump wütend auf Putin?,"Grund für Trumps Ärger war eine von Putin wiederholte Behauptung, wonach der ukrainische Präsident Wolodymyr Selenskyj nicht länger legitimes Staatsoberhaupt seines Landes sei, weil seine Amtszeit im vergangenen Jahr abgelaufen ist.",2025-03-31/ausland/article_4.md
"Welche Maßnahme hat Biden kurz vor Ende seiner Amtszeit ergriffen, um bestimmte Personen zu schützen?","Biden veröffentlichte noch kurz vor Ende seiner Amtszeit eine ganze Reihe von Begnadigungen, um Regierungsbeamte, Politiker und Familienmitglieder davor zu schützen, von der Trump-Administration strafrechtlich verfolgt zu werden.",2025-01-20/ausland/article_17.md
Welche Wahlversprechen werden als konkret und überprüfbar angesehen?,Die Wahlversprechen 'Schuldenbremse' und 'Heizungsgesetz' werden als konkret und überprüfbar angesehen.,2025-03-31/inland/article_3.md
Welche Parteien haben sich auf das Gesetz zur Entbudgetierung der Hausärzte geeinigt?,"SPD, Grüne und FDP haben sich auf das Gesetz geeinigt.",2025-01-20/inland/article_1.md
Welche Verteidigungsausgaben schlägt Trump für die NATO-Länder vor?,Trump brachte Ausgaben bis zu fünf Prozent der jeweiligen Wirtschaftsleistung (BIP) ins Spiel.,2025-02-28/ausland/article_4.md
An wen richtete sich der offene Brief der Holocaust-Überlebenden Eva Umlauf?,Der offene Brief richtete sich an Unions-Kanzlerkandidat Friedrich Merz.,2025-01-31/inland/article_5.md
Wie stark ist der Nettogewinn von SAP im Jahresvergleich gestiegen?,"Der Nettogewinn stieg um 35 Prozent auf 1,62 Milliarden Euro an.",2025-01-28/wirtschaft/article_3.md
Was sagte der CDU-Vorsitzende über die Verhandlungstaktik mit den Sozialdemokraten und den Grünen?,"Es ist anspruchsvoll, jetzt auch sowohl mit den Sozialdemokraten als auch mit den Grünen zu verhandeln. Wir haben immer mehrere Bälle gleichzeitig in der Luft.",2025-03-14/inland/article_7.md
Was bezeichnet der CDU-Politiker Frei die SPD-Vorschläge in Bezug auf die Regierungsentwürfe?,"Der CDU-Politiker Frei bezeichnet die SPD-Vorschläge als Placebo-Politik, die nicht für mehr Sicherheit sorgen werde.",2025-01-28/inland/article_0.md
Was hat der Bundesgerichtshof im Fall der Familie aus Rangsdorf entschieden?,"Der Bundesgerichtshof hat entschieden, dass das Haus nicht abgerissen werden muss und der Eigentümer die Familie dafür bezahlen muss.",2025-03-14/wirtschaft/article_1.md
Welchen Aufruf machte der Papst in seiner Predigt?,"Der Papst rief dazu auf, für den Frieden im Nahen Osten, in Myanmar, im Kongo und im Sudan zu beten und sich für die Vergebung unter den Menschen einzusetzen.",2025-02-23/ausland/article_11.md
Welche Unternehmen profitieren von dem Investitionsprogramm der Bundesregierung?,Unternehmen wie Rheinmetall und Deutz profitieren von dem Investitionsprogramm der Bundesregierung.,2025-05-06/wirtschaft/article_2.md
Welche Städte in Pakistan wurden von Indien angegriffen?,"Die beiden größten Städte des Landes, Karatschi und Lahore, wurden angegriffen.",2025-05-08/ausland/article_17.md
Wo wurde die 35-jährige Politikerin geboren?,Die 35-Jährige ist in Moskau geboren.,2025-05-06/inland/article_1.md
Was wurde den betroffenen Personen und ihren Familien nach chinesischen Angaben untersagt?,"Die Einreise nach Festlandchina, Hongkong und Macau sowie Geschäfte mit China zu tätigen.",2025-04-30/ausland/article_2.md
Welche Länder hat Kenia um Unterstützung im Konflikt im Ostkongo gebeten?,Kenia hat Frankreich und die USA um Unterstützung gebeten.,2025-01-28/ausland/article_7.md
Welche Auswirkungen könnten Trumps Zölle auf die US-Autobauer haben?,"Experten warnen, dass die Zölle zu höheren Autopreisen führen und die Verkaufszahlen der US-Autobauer sinken könnten, wodurch Arbeitsplätze in Gefahr gerieten.",2025-04-30/wirtschaft/article_2.md
Welchen Beitrag leistet die Energiewirtschaft zur Emissionsminderung in Deutschland?,"Die Energiewirtschaft leistet einen überproportionalen Beitrag zur Emissionsminderung, vor allem durch den Rückgang der Emissionen durch die Verbrennung fossiler Energieträger wie Kohle.",2025-03-14/inland/article_13.md
Wie viele Verdächtige wurden im Zusammenhang mit dem Güterzugunglück angeklagt?,40 Verdächtige,2025-02-28/ausland/article_11.md
Warum hat der AfD-Abgeordnete Knodel die Partei verlassen?,"Knodel hat die Partei verlassen, weil die AfD vom Bundesverfassungsschutz als 'gesichert rechtsextremistisch' eingestuft wurde und er sein privates und geschäftliches Umfeld schützen möchte.",2025-05-06/inland/article_6.md
Wie reagiert der Kreml auf die Kritik von US-Präsident Trump bezüglich der Ukraine?,"Der Kreml geht nicht direkt auf die Kritik von US-Präsident Trump ein, sondern dämpft die Hoffnung auf schnelle Fortschritte und bezeichnet den Prozess zu einer Waffenruhe als 'langwierig'.",2025-03-31/ausland/article_4.md
Welches Unternehmen hat den Titel des wertvollsten börsennotierten Unternehmens der Welt zurückerlangt?,Apple,2025-01-28/wirtschaft/article_0.md
Welches Produkt exportierte Großbritannien 2024 am meisten in die USA?,"Autos mit 9,0 Milliarden Pfund.",2025-05-08/wirtschaft/article_3.md
Was möchte die SPD bezüglich des Rentenniveaus erreichen?,Die SPD möchte das Durchschnittsniveau der Rente von 48 Prozent des letzten Bruttolohns auf Dauer festschreiben.,2025-03-31/inland/article_6.md
Wie viele Menschen mit ukrainischer Staatsangehörigkeit leben in Deutschland?,"In Deutschland leben rund 1,2 Millionen Menschen mit ukrainischer Staatsangehörigkeit.",2025-01-20/ausland/article_0.md
Was meldete das ukrainische Militär über die Region Kursk?,"Das ukrainische Militär meldete, dass seine Streitkräfte in den vergangenen 24 Stunden in Kampfhandlungen in der russischen Region Kursk verwickelt waren.",2025-05-06/ausland/article_2.md
Warum bat die EVG um vorgezogene Verhandlungen?,"Aufgrund der Ungewissheit, die eine neue Bundesregierung für die Bahn bringen könnte, bat die EVG um vorgezogene Verhandlungen.",2025-01-28/wirtschaft/article_1.md
Wo übernachten und speisen die Kardinäle während der Wahl?,"Die Kardinäle übernachten und speisen im Gästehaus des Vatikans, der Casa Santa Marta, sowie einem älteren Anbau.",2025-05-08/ausland/article_5.md
Wie hoch ist der Aufstockungsbetrag bei der Altersteilzeit mindestens?,Der Aufstockungsbetrag muss mindestens 20 Prozent des vorherigen Lohns betragen.,2025-01-31/wirtschaft/article_3.md
Wie hoch ist der monatliche Beitrag für einen Nichtraucher bei einer Todesfallleistung von 500.000 Euro?,Ein Nichtraucher zahlt einen Beitrag von circa 60 Euro monatlich bei einer Todesfallleistung von 500.000 Euro.,2025-04-30/wirtschaft/article_5.md
Welche Sonderkosten führten zu einem Rückgang des operativen Ergebnisses?,"Sonderprobleme wie CO2-Rückstellungen in Europa, der Umbau bei der Softwaretochter Cariad sowie Rücklagen für den Dieselskandal führten zu Sonderkosten in Höhe von rund 1,1 Milliarden Euro.",2025-04-30/wirtschaft/article_11.md
Welche Anweisung hat die US-Regierung der Gesundheitsbehörde CDC bezüglich der WHO gegeben?,"Die US-Regierung hat die Gesundheitsbehörde CDC angewiesen, die Zusammenarbeit mit der Weltgesundheitsorganisation (WHO) mit sofortiger Wirkung zu beenden.",2025-01-28/ausland/article_5.md
Wie viel brachte der gläserne Flügel von Udo Jürgens bei der Versteigerung ein?,Der gläserne Flügel brachte 240.000 Euro ein.,2025-01-31/ausland/article_3.md
Wer wurde von Biden präventiv begnadigt?,"Biden begnadigte James B. Biden, seinen jüngeren Bruder und dessen Ehefrau, seine jüngere Schwester Valerie Biden Owens und deren Ehemann sowie seinen jüngsten Bruder Francis W. Biden.",2025-01-20/ausland/article_1.md
Wie viele Wohnungen fehlen laut Berechnungen des Pestel-Instituts in Deutschland?,In Deutschland fehlen laut Berechnungen des Pestel-Instituts 540.000 Wohnungen.,2025-03-31/wirtschaft/article_4.md
"Was ist das Horrorszenario, das die Fed vermeiden möchte?","Eine Stagflation ist ein Horrorszenario, das jeder Notenbanker gerne vermeiden möchte.",2025-05-08/wirtschaft/article_0.md
Wer leidet unter den Folgen des Entlaubungsmittels Agent Orange?,Hoang Ranh und Dao Ba Duc leiden unter den Folgen des Entlaubungsmittels Agent Orange.,2025-04-30/ausland/article_10.md
Welche berufliche Tätigkeit hatte die Mutter von Elke Simon?,Sie war Bäckereifachverkäuferin.,2025-05-08/inland/article_8.md
Welches Ergebnis erzielte die AfD bei der Bundestagswahl 2025?,"Die AfD konnte ihr Ergebnis von 2021 etwa verdoppeln und kommt nun auf 20,7 Prozent.",2025-02-23/inland/article_1.md|2025-02-23/inland/article_3.md
Welche Flughäfen in Russland wurden aufgrund von Sicherheitsmaßnahmen zeitweise geschlossen?,"Die Flughäfen Wnukovo, Domodedowo und Schukowski in Moskau sowie die Flughäfen in Kaluga, Saratow und Wolgograd wurden zeitweise geschlossen.",2025-05-06/ausland/article_2.md
Wie viele Morde werden Duterte im staatlichen Kampf gegen Drogen vorgeworfen?,Mindestens 43 Morde von 2011 bis 2019.,2025-03-14/ausland/article_9.md
Was könnte laut Robert Rubin den Anleihemarkt beeinflussen?,"Der Anleihemarkt könnte es Trump sehr schnell sehr schwer machen, das zu tun, was er will.",2025-01-20/wirtschaft/article_3.md
Welchen Spitznamen schlägt Trump für Joe Biden vor?,Trump schlägt die Spitznamen 'verschlafener Joe' oder 'Gauner Joe' für Joe Biden vor.,2025-04-30/ausland/article_13.md
Was hat die RSF-Miliz im Sudan gegründet?,Die RSF-Miliz hat eine Parallelregierung in von ihr kontrollierten Gebieten gegründet.,2025-02-23/ausland/article_6.md
Warum findet der ukrainische Botschafter Oleksii Makeiev die Bilder von russischen Fahnen und dem St. Georgs-Band unerträglich?,"Weil ein Vertreter eines Verbrecherregimes, das sein Land jeden Tag mit Raketen, Bomben und Drohnen angreift, unangebracht für ein europäisches Land wäre.",2025-05-08/inland/article_4.md
Warum ist Bauen in Deutschland teurer und schwer planbar geworden?,"In Deutschland sind 37 Prozent der Kosten beim Wohnungsneubau staatlich bedingt, und es gibt eine Unzuverlässigkeit in der politischen Richtung, die das Bauen nahezu unkalkulierbar macht.",2025-03-31/wirtschaft/article_4.md
Was befürchten Europäer und Ukrainer bezüglich eines Waffenruheabkommens?,"Europäer wie Ukrainer befürchten, Trump und der russische Präsident Wladimir Putin könnten ohne europäische Beteiligung über die Zukunft der Ukraine entscheiden und ein Waffenruheabkommen vereinbaren, das Kiew zu erheblichen territorialen Zugeständnissen zwingen würde.",2025-02-28/ausland/article_4.md
Welches Ziel verfolgt die EZB in Bezug auf den Klimawandel?,"Der Klimawandel wird sich künftig stärker in der Geldpolitik niederschlagen, da Dürren und Überflutungen der Landwirtschaft zunehmend Probleme bereiten und damit ein zentraler Faktor für den Preisanstieg bei Nahrungsmitteln sind.",2025-06-30/wirtschaft/article_1.md
Wer wird beim Kirchentag in Hannover erwartet?,Der frühere Bundespräsident Christian Wulff und Altkanzlerin Angela Merkel werden erwartet.,2025-04-30/inland/article_4.md
"Was ist das Ziel der Überprüfungen von Visa-Bewerbern, die nach Harvard wollen?","Ziel sei demzufolge festzustellen, ob Visumsantragsteller durch Antisemitismus aufgefallen seien.",2025-05-31/ausland/article_4.md
Wer wird der neue KI-Chef bei Siemens?,Vasi Philomin wird der neue KI-Chef bei Siemens.,2025-06-30/wirtschaft/article_4.md
Was fordert die Gewerkschaft ver.di im Tarifkonflikt mit der Deutschen Post?,Ver.di fordert sieben Prozent mehr Lohn und drei Tage mehr Urlaub für die rund 170.000 Tarifbeschäftigten der DHL-Tochter.,2025-01-28/wirtschaft/article_11.md|2025-01-28/wirtschaft/article_7.md|2025-02-28/wirtschaft/article_5.md
Warum müssen sich Flugreisende in Nordrhein-Westfalen auf Ausfälle und Verspätungen einstellen?,Der Grund sind 24-stündige Warnstreiks an den Flughäfen Köln/Bonn und Düsseldorf.,2025-02-23/inland/article_8.md
Wie viele Milliardäre gibt es in Deutschland im Jahr 2024?,In Deutschland gibt es 130 Milliardäre.,2025-01-20/wirtschaft/article_0.md
Welche Aktien waren im DAX heute große Gewinner?,Große Gewinner im DAX waren heute die Autoaktien.,2025-01-20/wirtschaft/article_3.md
"Was plant Dänemark, um seine Präsenz auf Grönland zu stärken?","Dänemark plant, knapp zwei Milliarden Euro in drei neue Schiffe, Langstreckendrohnen zur Überwachung der Region und verstärkte Satellitenkapazitäten zu investieren.",2025-01-28/ausland/article_6.md
Welche Herausforderungen hatte Akram Al Homsy bei seiner Ankunft in Deutschland?,Akram Al Homsy litt an schweren posttraumatischen Belastungsstörungen und erhielt zunächst keine konkrete Hilfe.,2025-06-30/inland/article_4.md
Wohin schlug die Huthi-Rakete am Sonntag ein?,Eine Rakete schlug in der Nähe des Flughafens Tel Aviv ein.,2025-05-06/ausland/article_1.md
Warum hat sich Israel in den Konflikt in Syrien eingeschaltet?,"Der Einsatz habe als Warnung an Extremisten gedient, die weitere Angriffe auf Drusen geplant hätten.",2025-04-30/ausland/article_4.md
Was plant OpenAI mit seiner gewinnorientierten Sparte zu tun?,"OpenAI plant, seine gewinnorientierte Sparte in eine 'Public Benefit Corporation' umzuwandeln.",2025-05-06/wirtschaft/article_5.md
Wie reagiert Felix Banaszak von den Grünen auf die Äußerungen von Merz zur AfD?,"Felix Banaszak fragt, ob Herr Merz die schleichende Normalisierung der AfD in Kauf nimmt.",2025-01-28/inland/article_9.md
Was hat Trump vor seiner Wahl im Bezug auf den Krypto-Sektor angekündigt?,"Trump hatte vor seiner Wahl angekündigt, den Krypto-Sektor zu deregulieren und eine Bitcoin-Reserve anzulegen.",2025-02-28/wirtschaft/article_4.md
Weshalb wurde die Immunität von AfD-Politiker Petr Bystron aufgehoben?,Es geht um den Verdacht der Geldwäsche und Bestechlichkeit.,2025-05-06/ausland/article_4.md
Welche Produkte sind die wichtigsten Exportgüter Mexikos?,"Autos, Autozubehör und Computer gehören zu den wichtigsten Exportprodukten in Mexiko.",2025-01-20/wirtschaft/article_5.md
Wie hoch ist der Stimmenanteil der Linken laut ARD-Hochrechnung?,"8,7 Prozent",2025-02-23/inland/article_1.md
Wie viel weniger Wachstum wird durch den Brexit erwartet?,Das Office for Budget Responsibility (OBR) rechnet auf mittlere Sicht mit vier Prozent weniger Wachstum durch den Brexit.,2025-01-31/ausland/article_7.md
Welches Land unterstützte die Demonstration zum Zeitpunkt der Attacke?,Demokratische Republik Kongo,2025-02-23/ausland/article_0.md
Welche Prognose hat Infineon trotz gesenkter Erwartungen bekräftigt?,Infineon hat seine vor wenigen Monaten angehobenen Gesamtjahresziele wieder zurückgenommen.,2025-05-08/wirtschaft/article_4.md
